crate	version	SPDX_or_root_license	macOS_targets	source
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	aarch64,x86_64	https://github.com/oyvindln/adler2
aead	0.6.1	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/RustCrypto/traits
ahash	0.8.12	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/tkaitchuck/ahash
aho-corasick	1.1.4	Unlicense OR MIT	aarch64,x86_64	https://github.com/BurntSushi/aho-corasick
allocator-api2	0.2.21	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/zakarumych/allocator-api2
anstream	1.0.0	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/rust-cli/anstyle.git
anstyle	1.0.14	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/rust-cli/anstyle.git
anstyle-parse	1.0.0	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/rust-cli/anstyle.git
anstyle-query	1.1.5	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/rust-cli/anstyle.git
anyhow	1.0.102	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/dtolnay/anyhow
apple-cf	0.9.3	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/doom-fish/apple-cf-rs
apple-metal	0.6.0	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/doom-fish/apple-metal-rs
arrayref	0.3.9	BSD-2-Clause	aarch64,x86_64	https://github.com/droundy/arrayref
arrayvec	0.7.6	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/bluss/arrayvec
askama	0.14.0	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/askama-rs/askama
askama_derive	0.14.0	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/askama-rs/askama
askama_parser	0.14.0	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/askama-rs/askama
async-compat	0.2.5	Apache-2.0 OR MIT	aarch64,x86_64	https://github.com/smol-rs/async-compat
async-trait	0.1.89	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/dtolnay/async-trait
autocfg	1.5.0	Apache-2.0 OR MIT	aarch64,x86_64	https://github.com/cuviper/autocfg
base64	0.22.1	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/marshallpierce/rust-base64
basic-toml	0.1.10	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/dtolnay/basic-toml
bit-set	0.8.0	Apache-2.0 OR MIT	aarch64,x86_64	https://github.com/contain-rs/bit-set
bit-vec	0.8.0	Apache-2.0 OR MIT	aarch64,x86_64	https://github.com/contain-rs/bit-vec
bitflags	2.11.1	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/bitflags/bitflags
block-buffer	0.10.4	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/RustCrypto/utils
block-buffer	0.12.1	MIT OR Apache-2.0	aarch64,x86_64	https://github.com/RustCrypto/utils
block2	0.5.1	MIT	aarch64,x86_64	https://github.com/madsmtm/objc2
block2	0.6.2	MIT	aarch64,x86_64	https://github.com/madsmtm/objc2
